# target name        accession  query name             accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#------------------- ----------   -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
3L                   -          Copia_Insetos_Alinhado -                4    4107 25368989 25372958 25368985 25372961 28110227    +           0 1276.1  65.8  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1974    4084 25904026 25906206 25904024 25906228 28110227    +    5.6e-210  698.8  74.8  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              946    2938 25560189 25562117 25560167 25562130 28110227    +    1.2e-202  674.4  34.9  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              946    2938 25575529 25577457 25575507 25577470 28110227    +    1.2e-202  674.4  34.9  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              792    2791 24669584 24671513 24669555 24671515 28110227    +    3.2e-192  639.8  66.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1071    3514 24310094 24307678 24310119 24307657 28110227    -    6.6e-192  638.8 225.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2546    4086  3604552  3606097  3604528  3606117 28110227    +    1.9e-185  617.4 143.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2563    4086 12959878 12958350 12959897 12958330 28110227    -    1.3e-182  607.9 141.3  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              778    2934 27104390 27102455 27104411 27102449 28110227    -    3.5e-180  599.9  56.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1392    3165 26876209 26877799 26876187 26877820 28110227    +    1.4e-147  491.7  39.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -                1    2260  3601630  3603904  3601630  3603930 28110227    +    1.2e-146  488.6 136.8  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -                1    2099 12961989 12959891 12961989 12959884 28110227    -    3.5e-133  443.9 117.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              783    2280 24514941 24513389 24514960 24513282 28110227    -    3.4e-101  337.8 132.0  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2933    4061 26543614 26544592 26543601 26544613 28110227    +       5e-77  257.6  40.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2039    3160 25325789 25324737 25325793 25324702 28110227    -     1.1e-66  223.3  30.0  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -                1    1593 25894842 25896411 25894842 25896414 28110227    +     2.6e-58  195.5  91.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3230    4080 24340490 24341225 24340467 24341247 28110227    +     2.4e-54  182.3  15.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3230    4080 24345906 24346641 24345883 24346663 28110227    +     2.4e-54  182.3  15.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3004    4081 23973373 23974277 23973350 23974334 28110227    +     5.5e-49  164.6  15.8  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              780    1620 23887718 23886881 23887752 23886876 28110227    -     2.9e-47  158.8  36.0  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3656    4032 24451503 24451879 24451499 24451904 28110227    +     1.1e-45  153.6  29.0  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2544    2916 25300323 25299951 25300343 25299945 28110227    -     3.2e-45  152.1   4.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2532    2921 26541590 26541986 26541542 26541992 28110227    +     4.9e-42  141.5   4.5  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3617    4073 24304677 24304253 24304697 24304233 28110227    -     6.8e-42  141.0  30.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3002    4025 23999460 24000299 23999438 24000320 28110227    +     2.3e-40  135.9  14.8  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1538    1961 25341483 25341112 25341504 25341107 28110227    -     7.9e-37  124.2  11.3  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -                4     719 25301139 25300494 25301143 25300473 28110227    -     5.2e-35  118.2  13.3  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2849    3167 26936125 26936449 26936121 26936468 28110227    +     2.8e-33  112.4   3.8  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -                1     712 24666712 24667389 24666712 24667411 28110227    +     2.9e-33  112.4  26.5  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1589    2166 23549580 23549054 23549593 23549034 28110227    -       2e-31  106.3  39.6  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1589    2166 23197339 23196813 23197352 23196793 28110227    -     3.3e-31  105.6  40.5  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1809    2109 28056015 28055726 28056027 28055705 28110227    -     1.9e-25   86.4  27.2  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2930    3195 27095395 27095124 27095410 27095105 28110227    -     8.3e-24   81.0  18.2  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -                1     604 27104929 27104420 27104929 27104414 28110227    -     3.7e-22   75.5  17.5  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -                1     685 23888776 23888145 23888776 23888132 28110227    -     3.6e-21   72.3  28.5  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1590    1736 25903877 25904023 25903864 25904028 28110227    +     1.5e-18   63.6  14.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3894    4107 25299954 25299735 25299958 25299732 28110227    -     2.3e-17   59.6  15.0  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -                1     700 28055026 28055613 28055026 28055633 28110227    +     5.8e-17   58.3  40.0  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3892    4111 24671517 24671744 24671513 24671744 28110227    +     8.4e-17   57.8  23.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2878    3181 23318104 23318415 23318083 23318435 28110227    +     5.3e-13   45.2  10.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3922    4061 28056016 28056155 28056009 28056175 28110227    +     4.5e-12   42.1  15.0  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3537    3880 23265905 23265632 23265924 23265625 28110227    -     3.9e-10   35.6   8.0  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3539    3817 23548951 23548691 23548952 23548669 28110227    -     9.1e-09   31.1  33.0  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -                1     354 23970372 23970697 23970372 23970714 28110227    +     1.4e-05   20.5  11.6  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -                1     354 23996511 23996836 23996511 23996856 28110227    +     1.4e-05   20.5  12.3  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              745    1008 26765564 26765918 26765538 26765927 28110227    +     1.6e-05   20.3   6.2  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1535    1917 25213336 25213673 25213330 25213681 28110227    +     1.8e-05   20.1   3.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1535    1917 25220397 25220734 25220391 25220742 28110227    +     1.8e-05   20.1   3.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2055    2202 25885594 25885450 25885614 25885430 28110227    -     3.6e-05   19.2  16.7  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1792    1885 25300457 25300364 25300477 25300354 28110227    -     5.7e-05   18.5   1.9  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              769    1008 23552705 23552386 23552733 23552385 28110227    -     7.3e-05   18.1   1.2  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1773    1917 27790922 27791060 27790883 27791067 28110227    +     9.3e-05   17.8   2.5  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              728     870 26579833 26579681 26579861 26579440 28110227    -      0.0001   17.7   4.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              728     870 26574952 26574800 26574972 26574559 28110227    -     0.00014   17.2   4.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              728     870 27018641 27018489 27018661 27018248 28110227    -     0.00014   17.2   4.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              728     870 27023521 27023369 27023541 27023128 28110227    -     0.00014   17.2   4.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             1415    1849 25726351 25725938 25726383 25725918 28110227    -     0.00017   16.9   5.6  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              588    1039 25342102 25341705 25342151 25341684 28110227    -     0.00019   16.8   8.6  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              771    1008 24070405 24070720 24070381 24070740 28110227    +      0.0011   14.2   6.0  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              728     861 27028378 27028246 27028406 27028206 28110227    -      0.0013   14.0   5.9  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              980    1301 23970713 23971010 23970675 23971015 28110227    +      0.0014   13.9  12.7  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3539    3770 23196710 23196497 23196712 23196490 28110227    -      0.0019   13.5  23.4  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             3110    3209 26715204 26715306 26715184 26715329 28110227    +       0.002   13.4   2.8  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -             2319    2461 10195100 10194934 10195135 10194892 28110227    -      0.0022   13.3   6.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              734     864 26469657 26469530 26469681 26469493 28110227    -      0.0061   11.8   4.1  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              792     864 24751435 24751545 24751357 24751591 28110227    +      0.0076   11.4   3.5  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              560     845 24215982 24215697 24216002 24215662 28110227    -      0.0078   11.4  14.5  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
3L                   -          Copia_Insetos_Alinhado -              792    1008 24420551 24420269 24420577 24420249 28110227    -      0.0089   11.2   2.5  type=golden_path_region; loc=3L:1..28110227; ID=3L; dbxref=GB:AE014296,GB:AE014296,REFSEQ:NT_037436; MD5=3c3ea06b22af8cc59809dbf8d154791e; length=28110227; release=r6.08; species=Dmel;
